Title,Company,Description,ContractType,Skills
PHP Developer,Data Engineers United,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Java - Pandas - Hive
Network Architect,AI Pioneers,Leading the development of machine learning models to optimize business processes.,CDI,Azure - SQL - TensorFlow - Pandas - Power BI
Business Intelligence Analyst,AMENTYS,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,NoSQL - Azure - React - Scikit-learn
Consultant SAP,Data Driven,Leading the development of machine learning models to optimize business processes.,Statutaire,Power BI - Spark - SQL Server - Oracle
Cloud Engineer,Data Analytics Co.,Develop scalable and secure cloud-based data solutions.,Stage,Data Mining - Data Governance - Tableau - Data Visualization - Numpy
SWIFT Developer,Data Engineers United,Manage data warehouses and optimize query performance.,Freelance,Pig - Hadoop - GCP
AZURE Solutions Architect,Machine Learning Labs,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Hive - Spark - Tableau - Pig - Oracle
Cloud Engineer,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Deep Learning - Cloud Computing - Hadoop
NODE.JS Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Work on data integration and ETL processes to ensure data quality.,Stage,Data Architecture - Power BI - React - Business Intelligence - Machine Learning
AZURE Solutions Architect,DataCorp,Work on data integration and ETL processes to ensure data quality.,Statutaire,JavaScript - Scikit-learn - Pig - Node.js - Hadoop
AWS Cloud Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Manage data warehouses and optimize query performance.,CDD,Keras - Numpy - Data Visualization - Pig
QA Tester,Cloud Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Spark - Data Visualization - Keras - Python
Machine Learning Engineer,AFRICASHORE,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,NoSQL - Power BI - Oracle
QA Tester,Data Driven,Provide technical expertise in data analysis and business intelligence.,CDD,Tableau - Python - JavaScript
Consultant SAP,Tech Innovators,Develop scalable and secure cloud-based data solutions.,CDI,Cloud Computing - TensorFlow - Hadoop - Big Data
AZURE Solutions Architect,Machine Learning Labs,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Python - React - Oracle
Network Architect,AI Pioneers,Develop scalable and secure cloud-based data solutions.,CDD,Java - Pig - Data Mining - Oracle - Node.js
Big Data Engineer,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Data Governance - SQL - Azure - Keras
Cloud System Administrator,Machine Learning Labs,Develop scalable and secure cloud-based data solutions.,Stage,Pig - Hadoop - NoSQL - Machine Learning - Pandas
Data Architect,Data Driven,Manage data warehouses and optimize query performance.,Statutaire,Numpy - Data Governance - SQL - Cloud Computing
AZURE Solutions Architect,DataCorp,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Hadoop - TensorFlow - Big Data - Kubernetes - Python
QA Tester,HRS HOSPITALITY & RETAIL SYSTEMS,Collaborate with stakeholders to implement data-driven strategies.,CDD,Kubernetes - Machine Learning - Node.js
SWIFT Developer,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,Stage,Kubernetes - Keras - Azure - JavaScript - GCP
Développeur Python,Data Analytics Co.,Provide technical expertise in data analysis and business intelligence.,Freelance,Numpy - NoSQL - Data Mining - GCP - Oracle
PHP Developer,DataCorp,Develop and deploy machine learning algorithms to solve complex problems.,CDI,JavaScript - Docker - AWS
Machine Learning Engineer,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Scikit-learn - Docker - Data Visualization - Hadoop - GCP
QA Tester,Data Analytics Co.,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Oracle - SQL Server - Cloud Computing
NODE.JS Developer,Machine Learning Labs,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,JavaScript - Docker - AWS - Keras - Tableau
NODE.JS Developer,Data Masters,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Business Intelligence - Azure - Scikit-learn
NODE.JS Developer,DataCorp,Leading the development of machine learning models to optimize business processes.,CDD,Power BI - Hive - NoSQL - Data Architecture - Tableau
Cloud System Administrator,AMENTYS,Work on data integration and ETL processes to ensure data quality.,CDI,SQL - JavaScript - React - Hive
Consultant SAP,Big Data Services,Manage data warehouses and optimize query performance.,Freelance,SQL - Spark - Python - Scikit-learn - Azure
Data Architect,Data Engineers United,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Kubernetes - Data Visualization - Big Data - Tableau
SWIFT Developer,Machine Learning Labs,Manage data warehouses and optimize query performance.,CDI,Machine Learning - Data Visualization - Oracle - AWS
Cloud System Integrator,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Big Data - Java - Scikit-learn
QA Tester,Data Engineers United,Collaborate with stakeholders to implement data-driven strategies.,CDD,React - Power BI - SQL Server - TensorFlow - AWS
Data Consultant,Tech Innovators,Leading the development of machine learning models to optimize business processes.,CDD,Hadoop - Machine Learning - NoSQL - Hive - Cloud Computing
Data Consultant,AI Pioneers,Provide technical expertise in data analysis and business intelligence.,CDD,Pig - Big Data - Node.js
JAVASCRIPT Developer,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,Freelance,Scikit-learn - Data Architecture - Oracle
NODE.JS Developer,HRS HOSPITALITY & RETAIL SYSTEMS,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Pandas - Tableau - Azure
PHP Developer,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Scikit-learn - Deep Learning - SQL
NODE.JS Developer,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Numpy - Data Governance - Tableau - Scikit-learn - Data Architecture
Chef de Département,DataCorp,Provide technical expertise in data analysis and business intelligence.,CDD,Data Architecture - Pig - SQL Server - Power BI
Data Scientist,AI Pioneers,Design and maintain data architectures and pipelines for large scale data processing.,CDD,React - Docker - Hadoop - Big Data - SQL
Data Analyst,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,Stage,AWS - SQL - SQL Server - TensorFlow
Database Administrator,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Numpy - Data Visualization - Scikit-learn - NoSQL - Pandas
AI Specialist,Tech Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Cloud Computing - Scikit-learn - Node.js
Business Intelligence Analyst,Data Driven,Work on data integration and ETL processes to ensure data quality.,CDI,GCP - Data Architecture - Azure - Python
REACT Developer,Data Driven,Work on data integration and ETL processes to ensure data quality.,CDD,Cloud Computing - Power BI - Business Intelligence - SQL Server - Hive
Cyber Security Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,CDI,Docker - Oracle - Data Mining
QA Tester,Data Analytics Co.,Provide technical expertise in data analysis and business intelligence.,Freelance,Numpy - Python - Kubernetes - Azure
SWIFT Developer,AMENTYS,Manage data warehouses and optimize query performance.,Statutaire,React - Kubernetes - Machine Learning - Hive - Tableau
Cyber Security Engineer,Data Masters,Collaborate with stakeholders to implement data-driven strategies.,CDI,NoSQL - Spark - Kubernetes
Cyber Security Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Freelance,R - Pig - Node.js - Python
Data Engineer,Big Data Services,Manage data warehouses and optimize query performance.,Freelance,Cloud Computing - SQL - Kubernetes - TensorFlow - Data Architecture
Cloud Engineer,AMENTYS,Work on data integration and ETL processes to ensure data quality.,Statutaire,Hive - React - Data Mining
Big Data Engineer,Data Analytics Co.,Manage data warehouses and optimize query performance.,Freelance,Scikit-learn - Business Intelligence - Hive - Numpy
Développeur Python,Tech Innovators,Leading the development of machine learning models to optimize business processes.,Statutaire,Numpy - Data Governance - Data Architecture - Pandas
Cloud Engineer,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Hadoop - React - Spark - Oracle - Tableau
Network Architect,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,CDI,Kubernetes - Docker - Hadoop - Business Intelligence - Data Mining
Cyber Security Engineer,DataCorp,Design and maintain data architectures and pipelines for large scale data processing.,CDI,Data Architecture - Data Governance - Azure - SQL
Sales Manager,Future Data,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Big Data - Azure - JavaScript - Oracle
REACT Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Business Intelligence - Docker - SQL Server
AWS Cloud Architect,Data Engineers United,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Data Architecture - Data Governance - Node.js
Cloud Data Engineer,Cloud Innovators,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Pandas - Big Data - Oracle - Tableau
Network Architect,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,Stage,GCP - Power BI - NoSQL - JavaScript - SQL
Big Data Engineer,AFRICASHORE,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Machine Learning - Azure - React
Database Administrator,Cloud Innovators,Provide technical expertise in data analysis and business intelligence.,CDD,Azure - Keras - React - AWS - GCP
Database Administrator,AFRICASHORE,Leading the development of machine learning models to optimize business processes.,CDI,Data Visualization - Oracle - Docker
Data Architect,Data Driven,Manage data warehouses and optimize query performance.,Stage,SQL Server - Data Architecture - Kubernetes - Docker
Big Data Engineer,Machine Learning Labs,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Spark - Hive - Tableau
Data Analyst,Data Driven,Provide technical expertise in data analysis and business intelligence.,CDD,Scikit-learn - Big Data - AWS - Data Architecture - Azure
SWIFT Developer,AFRICASHORE,Work on data integration and ETL processes to ensure data quality.,Stage,R - Docker - JavaScript
SWIFT Developer,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Stage,JavaScript - Pandas - AWS - Data Governance
Cloud Data Engineer,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,Stage,Deep Learning - Numpy - SQL Server - Spark - Data Mining
Sales Manager,Data Driven,Leading the development of machine learning models to optimize business processes.,Statutaire,NoSQL - Pig - JavaScript - Docker
Data Governance Lead,Data Driven,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Hive - TensorFlow - SQL Server - Docker - Data Governance
NODE.JS Developer,Tech Innovators,Leading the development of machine learning models to optimize business processes.,CDI,Big Data - Hadoop - Data Architecture
AWS Cloud Architect,Data Masters,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Cloud Computing - React - GCP - Keras
Data Governance Lead,Cloud Innovators,Leading the development of machine learning models to optimize business processes.,Stage,Tableau - Business Intelligence - Cloud Computing - Machine Learning - JavaScript
Database Administrator,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Work on data integration and ETL processes to ensure data quality.,Freelance,Hadoop - Big Data - Java
Data Engineer,Data Masters,Work on data integration and ETL processes to ensure data quality.,CDD,Cloud Computing - Keras - AWS - Spark - NoSQL
Data Scientist,HRS HOSPITALITY & RETAIL SYSTEMS,Work on data integration and ETL processes to ensure data quality.,Stage,Data Architecture - Power BI - SQL Server - Kubernetes - R
Cyber Security Engineer,Data Masters,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Python - Hadoop - JavaScript - NoSQL
Cloud System Administrator,DataCorp,Leading the development of machine learning models to optimize business processes.,Freelance,Data Mining - SQL Server - Deep Learning
AI Specialist,Data Driven,Manage data warehouses and optimize query performance.,CDI,TensorFlow - Docker - Deep Learning - Data Mining - React
PHP Developer,AMENTYS,Work on data integration and ETL processes to ensure data quality.,CDI,Tableau - SQL Server - JavaScript - SQL - Data Governance
Data Analyst,Data Engineers United,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Pig - Spark - Numpy - Docker - Power BI
Chef de Département,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Docker - GCP - Oracle - Data Architecture - Tableau
AZURE Solutions Architect,AI Pioneers,Work on data integration and ETL processes to ensure data quality.,Freelance,Docker - Data Visualization - NoSQL - Pandas - Numpy
Sales Manager,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,Stage,Docker - Kubernetes - Keras - Power BI - Java
